Name,City,State,Size_MW,Score_Default,Classification,Score_Best_Case,Score_Worst_Case,Score_Range,Missing_Inputs,PUE_Low_Score,PUE_High_Score,Growth_Low_Score,Growth_High_Score,OPEX_Low_Score,OPEX_High_Score,Data_Collection_Priority
Weismullerstrasse 32-40 (FRA7),Frankfurt,,1.8,52.55,Good,66.72,34.51,32.21,baseline_pue; load_growth_rate; energy_pct_opex,41.23,59.32,47.15,57.88,50.55,54.55,HIGH
Cessnalaan 1-33 AMS3,Amsterdam,,2.2,51.93,Good,65.25,34.49,30.76,baseline_pue; load_growth_rate; energy_pct_opex,41.69,58.05,46.73,57.06,49.93,53.93,HIGH
JFK12,New York,NY,2.5,60.68,Good,74.14,43.67,30.47,baseline_pue; load_growth_rate; energy_pct_opex,50.76,66.88,55.49,65.82,58.68,62.68,HIGH
ITENOS Frankfurt 3,Eschborn,Hesse,2.4,57.3,Good,70.62,40.25,30.37,baseline_pue; load_growth_rate; energy_pct_opex,47.36,63.41,52.12,62.41,55.3,59.3,HIGH
Science PArk 121 (AMS9),Amsterdam,,2.6,54.57,Good,67.43,38.06,29.37,baseline_pue; load_growth_rate; energy_pct_opex,45.1,60.33,49.49,59.59,52.57,56.57,HIGH
Epsilon Global Hubs,Singapore,N/A,2.5,66.53,Good,76.8,47.59,29.21,baseline_pue; load_growth_rate; energy_pct_opex,56.3,72.63,61.27,71.75,62.93,66.93,HIGH
29-31 FRA12,Frankfurt,,1.5,48.76,Moderate,63.59,34.51,29.08,baseline_pue; load_growth_rate; energy_pct_opex,40.75,56.05,43.18,54.25,46.76,50.76,HIGH
BOS-1,Boston,MA,3.6,65.94,Good,78.89,50.15,28.74,baseline_pue; load_growth_rate; energy_pct_opex,57.01,71.73,60.91,70.94,63.94,67.94,HIGH
7-9 avenue des Arts et MEtiers PAR3,Paris,,2.8,49.42,Moderate,61.76,33.34,28.42,baseline_pue; load_growth_rate; energy_pct_opex,40.34,54.79,44.44,54.34,47.42,51.42,HIGH
Fortress SF1,San Francisco,CA,3.0,68.45,Good,78.37,50.18,28.19,baseline_pue; load_growth_rate; energy_pct_opex,58.77,74.28,63.27,73.58,64.85,68.85,HIGH
EWR20,Clifton,NJ,2.2,45.05,Moderate,58.16,30.01,28.15,baseline_pue; load_growth_rate; energy_pct_opex,36.03,51.03,39.86,50.16,43.05,47.05,HIGH
EWR14,Carlstadt,NJ,2.2,45.05,Moderate,58.16,30.01,28.15,baseline_pue; load_growth_rate; energy_pct_opex,36.03,51.03,39.86,50.16,43.05,47.05,HIGH
Théséé Data Center 2,Paris,Île-de-France,3.0,50.49,Good,62.63,34.78,27.85,baseline_pue; load_growth_rate; energy_pct_opex,41.72,55.71,45.56,55.36,48.49,52.49,HIGH
Lyoner Strasse 28 FRA28,Frankfurt,,3.9,62.77,Good,75.13,47.66,27.47,baseline_pue; load_growth_rate; energy_pct_opex,54.43,68.12,57.86,67.65,60.77,64.77,HIGH
Equinix BA2,Barcelona,Catalonia,3.4,47.92,Moderate,59.57,32.81,26.76,baseline_pue; load_growth_rate; energy_pct_opex,39.67,52.77,43.1,52.69,45.92,49.92,HIGH
nLighten Amsterdam AMS ll,Schiphol-Rijk,,4.2,61.7,Good,71.98,45.55,26.43,baseline_pue; load_growth_rate; energy_pct_opex,53.85,66.69,56.89,66.48,58.1,62.1,HIGH
NT Banggrak,Bangkok,,2.7,41.34,Moderate,53.67,27.3,26.37,baseline_pue; load_growth_rate; energy_pct_opex,33.19,46.73,36.31,46.28,39.34,43.34,HIGH
Calle de Albasanz 71 MAD1,Madrid,,3.6,48.76,Moderate,60.26,33.94,26.32,baseline_pue; load_growth_rate; energy_pct_opex,40.75,53.49,43.97,53.49,46.76,50.76,HIGH
SJC14,Santa Clara,CA,4.8,70.43,Good,81.33,55.03,26.3,baseline_pue; load_growth_rate; energy_pct_opex,61.8,75.77,65.43,75.41,68.43,72.43,HIGH
Esbogatan 11 (STO5),Stockholm,Kista,3.4,40.15,Moderate,51.74,25.5,26.24,baseline_pue; load_growth_rate; energy_pct_opex,31.53,44.98,35.3,44.93,38.15,42.15,HIGH
Calle de Albasanz 73 MAD2,Madrid,,2.4,41.64,Moderate,54.4,28.2,26.2,baseline_pue; load_growth_rate; energy_pct_opex,34.14,47.36,36.52,46.68,39.64,43.64,HIGH
Weismullerstrase 36 (FRA8),Frankfurt,,5.4,65.21,Good,77.14,50.95,26.19,baseline_pue; load_growth_rate; energy_pct_opex,57.58,70.22,60.41,69.98,63.21,67.21,HIGH
Equinix TY2,Tokyo,Tokyo,5.0,63.14,Good,74.96,48.9,26.06,baseline_pue; load_growth_rate; energy_pct_opex,55.54,68.07,58.35,67.89,61.14,65.14,HIGH
Equinix FR1,Frankfurt,Hesse,6.0,65.84,Good,77.66,51.81,25.85,baseline_pue; load_growth_rate; energy_pct_opex,58.39,70.76,61.07,70.58,63.84,67.84,HIGH
ITENOS Frankfurt Eschborn,Eschborn,Hesse,6.0,65.84,Good,77.66,51.81,25.85,baseline_pue; load_growth_rate; energy_pct_opex,58.39,70.76,61.07,70.58,63.84,67.84,HIGH
ESbogatan 11 (STO1),Stockholm,Kista,3.3,39.57,Moderate,51.26,25.5,25.76,baseline_pue; load_growth_rate; energy_pct_opex,31.3,44.48,34.69,44.37,37.57,41.57,HIGH
Conapto Stockholm 2 South,Skarholmen,,4.0,44.63,Moderate,54.11,28.44,25.67,baseline_pue; load_growth_rate; energy_pct_opex,36.85,49.06,39.91,49.28,41.03,45.03,HIGH
Bahnhof Pionen,Stockholm,Stockholm,4.0,43.03,Moderate,54.11,28.44,25.67,baseline_pue; load_growth_rate; energy_pct_opex,35.25,47.46,38.31,47.68,41.03,45.03,HIGH
SJC35,Santa Clara,CA,6.0,71.63,Good,82.31,56.65,25.66,baseline_pue; load_growth_rate; energy_pct_opex,63.35,76.8,66.68,76.56,69.63,73.63,HIGH
SP3,Osasco,São Paulo,4.0,49.88,Moderate,61.12,35.57,25.55,baseline_pue; load_growth_rate; energy_pct_opex,42.29,54.41,45.17,54.55,47.88,51.88,HIGH
SJC10,Santa Clara,CA,6.3,71.86,Good,82.5,56.96,25.54,baseline_pue; load_growth_rate; energy_pct_opex,63.64,76.99,66.92,76.77,69.86,73.86,HIGH
Equinix TY4,Tokyo,Tokyo,6.0,64.33,Good,75.94,50.52,25.42,baseline_pue; load_growth_rate; energy_pct_opex,57.08,69.1,59.61,69.04,62.33,66.33,HIGH
Telehouse Koto 1,Tokyo,Tokyo,6.0,64.33,Good,75.94,50.52,25.42,baseline_pue; load_growth_rate; energy_pct_opex,57.08,69.1,59.61,69.04,62.33,66.33,HIGH
LAX12,Los Angeles,CA,7.1,72.37,Good,82.92,57.65,25.27,baseline_pue; load_growth_rate; energy_pct_opex,64.3,77.44,67.46,77.26,70.37,74.37,HIGH
SIN-1,Singapore,N/A,7.3,72.48,Good,83.01,57.8,25.21,baseline_pue; load_growth_rate; energy_pct_opex,64.45,77.53,67.57,77.37,70.48,74.48,HIGH
Equinix FR2,Frankfurt,Hesse,8.0,67.26,Good,78.83,53.73,25.1,baseline_pue; load_growth_rate; energy_pct_opex,60.23,71.99,62.56,71.94,65.26,69.26,HIGH
Telehouse Frankfurt,Frankfurt,Hesse,8.0,67.26,Good,78.83,53.73,25.1,baseline_pue; load_growth_rate; energy_pct_opex,60.23,71.99,62.56,71.94,65.26,69.26,HIGH
Maincubes FRA01,Offenbach,Hesse,8.0,67.26,Good,78.83,53.73,25.1,baseline_pue; load_growth_rate; energy_pct_opex,60.23,71.99,62.56,71.94,65.26,69.26,HIGH
Equinix TY5,Tokyo,Tokyo,7.0,65.19,Good,76.65,51.68,24.97,baseline_pue; load_growth_rate; energy_pct_opex,58.18,69.83,60.5,69.85,63.19,67.19,HIGH
Serangoon,Singapore,N/A,8.6,73.07,Good,83.5,58.6,24.9,baseline_pue; load_growth_rate; energy_pct_opex,65.22,78.04,68.2,77.94,71.07,75.07,HIGH
Wilhelm Fay Strasse 24 FRA30,Frankfurt,,9.0,67.74,Good,79.22,54.38,24.84,baseline_pue; load_growth_rate; energy_pct_opex,60.84,72.39,63.06,72.4,65.74,69.74,HIGH
