Name,City,State,Operator,Size_MW,Latitude,Longitude,Status,Electricity_Price,Composite_Score,Classification,Savings_Per_MW,Payback_Years,OPEX_Impact_Pct,Annual_Energy_Cost,Estimated_Savings,EJ_Demographic_Index,EJ_Energy_Burden_Pct,CO2_Avoided_MT,Water_Saved_Gal,Grid_Relief_Pct,Cars_Equivalent,Homes_Equivalent,Missing_Inputs_Note
NEXTDC S7,Eastern Creek,NSW,NEXTDC,550.0,-33.8028,150.8513,Planned,0.28,80.88,Excellent,418202.4,0.007,4.0,2300113200.0,230011320.0,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
NEXTDC S4,Horsley Park,NSW,NEXTDC,350.0,-33.841,150.8529,Construction,0.28,80.87,Excellent,418202.4,0.01,4.0,1463708400.0,146370840.0,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
CWL1 Cardiff,Newport,South Wales,Vantage Data Centers,148.0,51.555,-3.0375,Construction,0.34,80.82,Excellent,507817.2,0.02,4.0,751569456.0,75156945.6,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
AirTrunk SYD1,Huntingwood,NSW,AirTrunk,130.0,-33.7799,150.8628,Active,0.28,80.78,Excellent,418202.4,0.028,4.0,543663120.0,54366312.0,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
AirTrunk SYD2,Lane Cove West,NSW,AirTrunk,120.0,-33.8149,151.153,Active,0.28,80.77,Excellent,418202.4,0.03,4.0,501842880.0,50184288.0,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Echelon DUB20,Arklow,Leinster,Echelon,100.0,52.7935,-6.1518,Construction,0.3,80.75,Excellent,448074.0,0.033,4.0,448074000.0,44807400.0,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
AirTrunk SYD3,Huntingwood,NSW,AirTrunk,110.0,-33.7789,150.8645,Active,0.28,80.75,Excellent,418202.4,0.033,4.0,460022640.0,46002264.0,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Goldwsworth PArk Trading Estate (LGW14),London,,Digital Realty,84.0,51.51630857391741,-0.1384885615077921,Active,0.34,80.74,Excellent,507817.2,0.035,4.0,426566448.0,42656644.8,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
LGW14,Woking,London,Digital Realty,84.0,51.323400057859,-0.586313178113241,Active,0.34,80.74,Excellent,507817.2,0.035,4.0,426566448.0,42656644.8,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
Echelon DUB10,Dublin,Leinster,Echelon,90.0,53.3215,-6.3972,Construction,0.3,80.73,Excellent,448074.0,0.037,4.0,403266600.0,40326660.0,,,,,,,,"baseline_pue, load_growth_rate, energy_pct_opex are estimated from industry averages"
